,word1,word2,word3,word4,category
19362,Hanoi,Vietnam,Madrid,Spain,capital-common-countries
19361,Hanoi,Vietnam,Moscow,Russia,capital-common-countries
19360,Hanoi,Vietnam,Oslo,Norway,capital-common-countries
19359,Hanoi,Vietnam,Ottawa,Canada,capital-common-countries
19358,Hanoi,Vietnam,Paris,France,capital-common-countries
19357,Hanoi,Vietnam,Rome,Italy,capital-common-countries
19356,Hanoi,Vietnam,Stockholm,Sweden,capital-common-countries
19355,Hanoi,Vietnam,Tehran,Iran,capital-common-countries
19354,Hanoi,Vietnam,Tokyo,Japan,capital-common-countries
19353,Hanoi,Vietnam,Athens,Greece,capital-common-countries
19352,Hanoi,Vietnam,Baghdad,Iraq,capital-common-countries
19351,Hanoi,Vietnam,Bangkok,Thailand,capital-common-countries
19350,Hanoi,Vietnam,Beijing,China,capital-common-countries
19349,Hanoi,Vietnam,Berlin,Germany,capital-common-countries
19348,Hanoi,Vietnam,Bern,Switzerland,capital-common-countries
19347,Hanoi,Vietnam,Cairo,Egypt,capital-common-countries
19346,Hanoi,Vietnam,Canberra,Australia,capital-common-countries
19345,Havana,Cuba,Helsinki,Finland,capital-common-countries
19344,Havana,Cuba,Islamabad,Pakistan,capital-common-countries
19343,Havana,Cuba,Kabul,Afghanistan,capital-common-countries
19342,Havana,Cuba,London,England,capital-common-countries
19341,Havana,Cuba,Madrid,Spain,capital-common-countries
19340,Havana,Cuba,Moscow,Russia,capital-common-countries
19339,Havana,Cuba,Oslo,Norway,capital-common-countries
19338,Havana,Cuba,Ottawa,Canada,capital-common-countries
19337,Havana,Cuba,Paris,France,capital-common-countries
19336,Havana,Cuba,Rome,Italy,capital-common-countries
19335,Havana,Cuba,Stockholm,Sweden,capital-common-countries
19334,Havana,Cuba,Tehran,Iran,capital-common-countries
19333,Havana,Cuba,Tokyo,Japan,capital-common-countries
19332,Havana,Cuba,Athens,Greece,capital-common-countries
19331,Havana,Cuba,Baghdad,Iraq,capital-common-countries
19330,Havana,Cuba,Bangkok,Thailand,capital-common-countries
19329,Havana,Cuba,Beijing,China,capital-common-countries
19328,Havana,Cuba,Berlin,Germany,capital-common-countries
19327,Havana,Cuba,Bern,Switzerland,capital-common-countries
19326,Havana,Cuba,Cairo,Egypt,capital-common-countries
19325,Havana,Cuba,Canberra,Australia,capital-common-countries
19324,Havana,Cuba,Hanoi,Vietnam,capital-common-countries
19323,Helsinki,Finland,Islamabad,Pakistan,capital-common-countries
19322,Helsinki,Finland,Kabul,Afghanistan,capital-common-countries
19321,Helsinki,Finland,London,England,capital-common-countries
19320,Helsinki,Finland,Madrid,Spain,capital-common-countries
19319,Helsinki,Finland,Moscow,Russia,capital-common-countries
19318,Helsinki,Finland,Oslo,Norway,capital-common-countries
19317,Helsinki,Finland,Ottawa,Canada,capital-common-countries
19316,Helsinki,Finland,Paris,France,capital-common-countries
19315,Helsinki,Finland,Rome,Italy,capital-common-countries
19314,Helsinki,Finland,Stockholm,Sweden,capital-common-countries
19313,Helsinki,Finland,Tehran,Iran,capital-common-countries
19312,Helsinki,Finland,Tokyo,Japan,capital-common-countries
19311,Helsinki,Finland,Athens,Greece,capital-common-countries
19310,Helsinki,Finland,Baghdad,Iraq,capital-common-countries
19309,Helsinki,Finland,Bangkok,Thailand,capital-common-countries
19308,Helsinki,Finland,Beijing,China,capital-common-countries
19307,Helsinki,Finland,Berlin,Germany,capital-common-countries
19306,Helsinki,Finland,Bern,Switzerland,capital-common-countries
19305,Helsinki,Finland,Cairo,Egypt,capital-common-countries
19304,Helsinki,Finland,Canberra,Australia,capital-common-countries
19303,Helsinki,Finland,Hanoi,Vietnam,capital-common-countries
19302,Helsinki,Finland,Havana,Cuba,capital-common-countries
19301,Islamabad,Pakistan,Kabul,Afghanistan,capital-common-countries
19300,Islamabad,Pakistan,London,England,capital-common-countries
19299,Islamabad,Pakistan,Madrid,Spain,capital-common-countries
19298,Islamabad,Pakistan,Moscow,Russia,capital-common-countries
19297,Islamabad,Pakistan,Oslo,Norway,capital-common-countries
19296,Islamabad,Pakistan,Ottawa,Canada,capital-common-countries
19295,Islamabad,Pakistan,Paris,France,capital-common-countries
19294,Islamabad,Pakistan,Rome,Italy,capital-common-countries
19293,Islamabad,Pakistan,Stockholm,Sweden,capital-common-countries
19292,Islamabad,Pakistan,Tehran,Iran,capital-common-countries
19291,Islamabad,Pakistan,Tokyo,Japan,capital-common-countries
19290,Islamabad,Pakistan,Athens,Greece,capital-common-countries
19289,Islamabad,Pakistan,Baghdad,Iraq,capital-common-countries
19288,Islamabad,Pakistan,Bangkok,Thailand,capital-common-countries
19287,Islamabad,Pakistan,Beijing,China,capital-common-countries
19286,Islamabad,Pakistan,Berlin,Germany,capital-common-countries
19285,Islamabad,Pakistan,Bern,Switzerland,capital-common-countries
19284,Islamabad,Pakistan,Cairo,Egypt,capital-common-countries
19283,Islamabad,Pakistan,Canberra,Australia,capital-common-countries
19282,Islamabad,Pakistan,Hanoi,Vietnam,capital-common-countries
19281,Islamabad,Pakistan,Havana,Cuba,capital-common-countries
19280,Islamabad,Pakistan,Helsinki,Finland,capital-common-countries
19279,Kabul,Afghanistan,London,England,capital-common-countries
19278,Kabul,Afghanistan,Madrid,Spain,capital-common-countries
19277,Kabul,Afghanistan,Moscow,Russia,capital-common-countries
19276,Kabul,Afghanistan,Oslo,Norway,capital-common-countries
19275,Kabul,Afghanistan,Ottawa,Canada,capital-common-countries
19274,Kabul,Afghanistan,Paris,France,capital-common-countries
19273,Kabul,Afghanistan,Rome,Italy,capital-common-countries
19272,Kabul,Afghanistan,Stockholm,Sweden,capital-common-countries
19271,Kabul,Afghanistan,Tehran,Iran,capital-common-countries
19270,Kabul,Afghanistan,Tokyo,Japan,capital-common-countries
19269,Kabul,Afghanistan,Athens,Greece,capital-common-countries
19268,Kabul,Afghanistan,Baghdad,Iraq,capital-common-countries
19267,Kabul,Afghanistan,Bangkok,Thailand,capital-common-countries
19266,Kabul,Afghanistan,Beijing,China,capital-common-countries
19265,Kabul,Afghanistan,Berlin,Germany,capital-common-countries
19264,Kabul,Afghanistan,Bern,Switzerland,capital-common-countries
19263,Kabul,Afghanistan,Cairo,Egypt,capital-common-countries
19262,Kabul,Afghanistan,Canberra,Australia,capital-common-countries
19261,Kabul,Afghanistan,Hanoi,Vietnam,capital-common-countries
19260,Kabul,Afghanistan,Havana,Cuba,capital-common-countries
19259,Kabul,Afghanistan,Helsinki,Finland,capital-common-countries
19258,Kabul,Afghanistan,Islamabad,Pakistan,capital-common-countries
19257,London,England,Madrid,Spain,capital-common-countries
19256,London,England,Moscow,Russia,capital-common-countries
19255,London,England,Oslo,Norway,capital-common-countries
19254,London,England,Ottawa,Canada,capital-common-countries
19253,London,England,Paris,France,capital-common-countries
19252,London,England,Rome,Italy,capital-common-countries
19251,London,England,Stockholm,Sweden,capital-common-countries
19250,London,England,Tehran,Iran,capital-common-countries
19249,London,England,Tokyo,Japan,capital-common-countries
19248,London,England,Athens,Greece,capital-common-countries
19247,London,England,Baghdad,Iraq,capital-common-countries
19246,London,England,Bangkok,Thailand,capital-common-countries
19245,London,England,Beijing,China,capital-common-countries
19244,London,England,Berlin,Germany,capital-common-countries
19243,London,England,Bern,Switzerland,capital-common-countries
19242,London,England,Cairo,Egypt,capital-common-countries
19241,London,England,Canberra,Australia,capital-common-countries
19240,London,England,Hanoi,Vietnam,capital-common-countries
19239,London,England,Havana,Cuba,capital-common-countries
19238,London,England,Helsinki,Finland,capital-common-countries
19237,London,England,Islamabad,Pakistan,capital-common-countries
19236,London,England,Kabul,Afghanistan,capital-common-countries
19235,Madrid,Spain,Moscow,Russia,capital-common-countries
19234,Madrid,Spain,Oslo,Norway,capital-common-countries
19233,Madrid,Spain,Ottawa,Canada,capital-common-countries
19232,Madrid,Spain,Paris,France,capital-common-countries
19231,Madrid,Spain,Rome,Italy,capital-common-countries
19230,Madrid,Spain,Stockholm,Sweden,capital-common-countries
19229,Madrid,Spain,Tehran,Iran,capital-common-countries
19228,Madrid,Spain,Tokyo,Japan,capital-common-countries
19227,Madrid,Spain,Athens,Greece,capital-common-countries
19226,Madrid,Spain,Baghdad,Iraq,capital-common-countries
19225,Madrid,Spain,Bangkok,Thailand,capital-common-countries
19224,Madrid,Spain,Beijing,China,capital-common-countries
19223,Madrid,Spain,Berlin,Germany,capital-common-countries
19222,Madrid,Spain,Bern,Switzerland,capital-common-countries
19221,Madrid,Spain,Cairo,Egypt,capital-common-countries
19220,Madrid,Spain,Canberra,Australia,capital-common-countries
19219,Madrid,Spain,Hanoi,Vietnam,capital-common-countries
19218,Madrid,Spain,Havana,Cuba,capital-common-countries
19217,Madrid,Spain,Helsinki,Finland,capital-common-countries
19216,Madrid,Spain,Islamabad,Pakistan,capital-common-countries
19215,Madrid,Spain,Kabul,Afghanistan,capital-common-countries
19214,Madrid,Spain,London,England,capital-common-countries
19213,Moscow,Russia,Oslo,Norway,capital-common-countries
19212,Moscow,Russia,Ottawa,Canada,capital-common-countries
19211,Moscow,Russia,Paris,France,capital-common-countries
19210,Moscow,Russia,Rome,Italy,capital-common-countries
19209,Moscow,Russia,Stockholm,Sweden,capital-common-countries
19208,Moscow,Russia,Tehran,Iran,capital-common-countries
19207,Moscow,Russia,Tokyo,Japan,capital-common-countries
19206,Moscow,Russia,Athens,Greece,capital-common-countries
19205,Moscow,Russia,Baghdad,Iraq,capital-common-countries
19204,Moscow,Russia,Bangkok,Thailand,capital-common-countries
19203,Moscow,Russia,Beijing,China,capital-common-countries
19202,Moscow,Russia,Berlin,Germany,capital-common-countries
19201,Moscow,Russia,Bern,Switzerland,capital-common-countries
19200,Moscow,Russia,Cairo,Egypt,capital-common-countries
19199,Moscow,Russia,Canberra,Australia,capital-common-countries
19198,Moscow,Russia,Hanoi,Vietnam,capital-common-countries
19197,Moscow,Russia,Havana,Cuba,capital-common-countries
19196,Moscow,Russia,Helsinki,Finland,capital-common-countries
19195,Moscow,Russia,Islamabad,Pakistan,capital-common-countries
19194,Moscow,Russia,Kabul,Afghanistan,capital-common-countries
19193,Moscow,Russia,London,England,capital-common-countries
19192,Moscow,Russia,Madrid,Spain,capital-common-countries
19191,Oslo,Norway,Ottawa,Canada,capital-common-countries
19190,Oslo,Norway,Paris,France,capital-common-countries
19189,Oslo,Norway,Rome,Italy,capital-common-countries
19188,Oslo,Norway,Stockholm,Sweden,capital-common-countries
19187,Oslo,Norway,Tehran,Iran,capital-common-countries
19186,Oslo,Norway,Tokyo,Japan,capital-common-countries
19185,Oslo,Norway,Athens,Greece,capital-common-countries
19184,Oslo,Norway,Baghdad,Iraq,capital-common-countries
19183,Oslo,Norway,Bangkok,Thailand,capital-common-countries
19182,Oslo,Norway,Beijing,China,capital-common-countries
19181,Oslo,Norway,Berlin,Germany,capital-common-countries
19180,Oslo,Norway,Bern,Switzerland,capital-common-countries
19179,Oslo,Norway,Cairo,Egypt,capital-common-countries
19178,Oslo,Norway,Canberra,Australia,capital-common-countries
19177,Oslo,Norway,Hanoi,Vietnam,capital-common-countries
19176,Oslo,Norway,Havana,Cuba,capital-common-countries
19175,Oslo,Norway,Helsinki,Finland,capital-common-countries
19174,Oslo,Norway,Islamabad,Pakistan,capital-common-countries
19173,Oslo,Norway,Kabul,Afghanistan,capital-common-countries
19172,Oslo,Norway,London,England,capital-common-countries
19171,Oslo,Norway,Madrid,Spain,capital-common-countries
19170,Oslo,Norway,Moscow,Russia,capital-common-countries
19169,Ottawa,Canada,Paris,France,capital-common-countries
19168,Ottawa,Canada,Rome,Italy,capital-common-countries
19167,Ottawa,Canada,Stockholm,Sweden,capital-common-countries
19166,Ottawa,Canada,Tehran,Iran,capital-common-countries
19165,Ottawa,Canada,Tokyo,Japan,capital-common-countries
19164,Ottawa,Canada,Athens,Greece,capital-common-countries
19163,Ottawa,Canada,Baghdad,Iraq,capital-common-countries
19162,Ottawa,Canada,Bangkok,Thailand,capital-common-countries
19161,Ottawa,Canada,Beijing,China,capital-common-countries
19160,Ottawa,Canada,Berlin,Germany,capital-common-countries
19159,Ottawa,Canada,Bern,Switzerland,capital-common-countries
19158,Ottawa,Canada,Cairo,Egypt,capital-common-countries
19157,Ottawa,Canada,Canberra,Australia,capital-common-countries
19156,Ottawa,Canada,Hanoi,Vietnam,capital-common-countries
19155,Ottawa,Canada,Havana,Cuba,capital-common-countries
19154,Ottawa,Canada,Helsinki,Finland,capital-common-countries
19153,Ottawa,Canada,Islamabad,Pakistan,capital-common-countries
19152,Ottawa,Canada,Kabul,Afghanistan,capital-common-countries
19151,Ottawa,Canada,London,England,capital-common-countries
19150,Ottawa,Canada,Madrid,Spain,capital-common-countries
19149,Ottawa,Canada,Moscow,Russia,capital-common-countries
19148,Ottawa,Canada,Oslo,Norway,capital-common-countries
19147,Paris,France,Rome,Italy,capital-common-countries
19146,Paris,France,Stockholm,Sweden,capital-common-countries
19145,Paris,France,Tehran,Iran,capital-common-countries
19144,Paris,France,Tokyo,Japan,capital-common-countries
19143,Paris,France,Athens,Greece,capital-common-countries
19142,Paris,France,Baghdad,Iraq,capital-common-countries
19141,Paris,France,Bangkok,Thailand,capital-common-countries
19140,Paris,France,Beijing,China,capital-common-countries
19139,Paris,France,Berlin,Germany,capital-common-countries
19138,Paris,France,Bern,Switzerland,capital-common-countries
19137,Paris,France,Cairo,Egypt,capital-common-countries
19136,Paris,France,Canberra,Australia,capital-common-countries
19135,Paris,France,Hanoi,Vietnam,capital-common-countries
19134,Paris,France,Havana,Cuba,capital-common-countries
19133,Paris,France,Helsinki,Finland,capital-common-countries
19132,Paris,France,Islamabad,Pakistan,capital-common-countries
19131,Paris,France,Kabul,Afghanistan,capital-common-countries
19130,Paris,France,London,England,capital-common-countries
19129,Paris,France,Madrid,Spain,capital-common-countries
19128,Paris,France,Moscow,Russia,capital-common-countries
19127,Paris,France,Oslo,Norway,capital-common-countries
19126,Paris,France,Ottawa,Canada,capital-common-countries
19125,Rome,Italy,Stockholm,Sweden,capital-common-countries
19124,Rome,Italy,Tehran,Iran,capital-common-countries
19123,Rome,Italy,Tokyo,Japan,capital-common-countries
19122,Rome,Italy,Athens,Greece,capital-common-countries
19121,Rome,Italy,Baghdad,Iraq,capital-common-countries
19120,Rome,Italy,Bangkok,Thailand,capital-common-countries
19119,Rome,Italy,Beijing,China,capital-common-countries
19118,Rome,Italy,Berlin,Germany,capital-common-countries
19117,Rome,Italy,Bern,Switzerland,capital-common-countries
19116,Rome,Italy,Cairo,Egypt,capital-common-countries
19115,Rome,Italy,Canberra,Australia,capital-common-countries
19114,Rome,Italy,Hanoi,Vietnam,capital-common-countries
19113,Rome,Italy,Havana,Cuba,capital-common-countries
19112,Rome,Italy,Helsinki,Finland,capital-common-countries
19111,Rome,Italy,Islamabad,Pakistan,capital-common-countries
19110,Rome,Italy,Kabul,Afghanistan,capital-common-countries
19109,Rome,Italy,London,England,capital-common-countries
19108,Rome,Italy,Madrid,Spain,capital-common-countries
19107,Rome,Italy,Moscow,Russia,capital-common-countries
19106,Rome,Italy,Oslo,Norway,capital-common-countries
19105,Rome,Italy,Ottawa,Canada,capital-common-countries
19104,Rome,Italy,Paris,France,capital-common-countries
19103,Stockholm,Sweden,Tehran,Iran,capital-common-countries
19102,Stockholm,Sweden,Tokyo,Japan,capital-common-countries
19101,Stockholm,Sweden,Athens,Greece,capital-common-countries
19100,Stockholm,Sweden,Baghdad,Iraq,capital-common-countries
19099,Stockholm,Sweden,Bangkok,Thailand,capital-common-countries
19098,Stockholm,Sweden,Beijing,China,capital-common-countries
19097,Stockholm,Sweden,Berlin,Germany,capital-common-countries
19096,Stockholm,Sweden,Bern,Switzerland,capital-common-countries
19095,Stockholm,Sweden,Cairo,Egypt,capital-common-countries
19094,Stockholm,Sweden,Canberra,Australia,capital-common-countries
19093,Stockholm,Sweden,Hanoi,Vietnam,capital-common-countries
19092,Stockholm,Sweden,Havana,Cuba,capital-common-countries
19091,Stockholm,Sweden,Helsinki,Finland,capital-common-countries
19090,Stockholm,Sweden,Islamabad,Pakistan,capital-common-countries
19089,Stockholm,Sweden,Kabul,Afghanistan,capital-common-countries
19088,Stockholm,Sweden,London,England,capital-common-countries
19087,Stockholm,Sweden,Madrid,Spain,capital-common-countries
19086,Stockholm,Sweden,Moscow,Russia,capital-common-countries
19085,Stockholm,Sweden,Oslo,Norway,capital-common-countries
19084,Stockholm,Sweden,Ottawa,Canada,capital-common-countries
19083,Stockholm,Sweden,Paris,France,capital-common-countries
19082,Stockholm,Sweden,Rome,Italy,capital-common-countries
19081,Tehran,Iran,Tokyo,Japan,capital-common-countries
19080,Tehran,Iran,Athens,Greece,capital-common-countries
19079,Tehran,Iran,Baghdad,Iraq,capital-common-countries
19078,Tehran,Iran,Bangkok,Thailand,capital-common-countries
19077,Tehran,Iran,Beijing,China,capital-common-countries
19076,Tehran,Iran,Berlin,Germany,capital-common-countries
19075,Tehran,Iran,Bern,Switzerland,capital-common-countries
19074,Tehran,Iran,Cairo,Egypt,capital-common-countries
